archive,publication_title,publication_id,search_date,page,href,search_terms
newspaperarchive,Albert Lea Freeborn County Standard,us/minnesota/albert-lea/albert-lea-freeborn-county-standard,1880-01-15,24,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-freeborn-county-standard/1880/01-15/page-24?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Freeborn County Standard,us/minnesota/albert-lea/albert-lea-freeborn-county-standard,1880-01-15,,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-freeborn-county-standard/1880/01-15?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Jackson Sentinel,us/iowa/maquoketa/jackson-sentinel,1880-01-15,2,http://access.newspaperarchive.com/us/iowa/maquoketa/jackson-sentinel/1880/01-15/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Harrisonburg Rockingham Register,us/virginia/harrisonburg/harrisonburg-rockingham-register,1880-01-15,3,http://access.newspaperarchive.com/us/virginia/harrisonburg/harrisonburg-rockingham-register/1880/01-15/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Rockport Journal,us/indiana/rockport/rockport-journal,1880-01-15,,http://access.newspaperarchive.com/us/indiana/rockport/rockport-journal/1880/01-15?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Eau Claire Argus,us/wisconsin/eau-claire/eau-claire-argus,1880-01-15,4,http://access.newspaperarchive.com/us/wisconsin/eau-claire/eau-claire-argus/1880/01-15/page-4?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Burlington Weekly Hawk Eye,us/iowa/burlington/burlington-weekly-hawk-eye,1880-01-15,9,http://access.newspaperarchive.com/us/iowa/burlington/burlington-weekly-hawk-eye/1880/01-15/page-9?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Brownstown Banner,us/indiana/brownstown/brownstown-banner,1880-01-15,2,http://access.newspaperarchive.com/us/indiana/brownstown/brownstown-banner/1880/01-15/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Waukesha Freeman,us/wisconsin/waukesha/waukesha-freeman,1880-01-15,2,http://access.newspaperarchive.com/us/wisconsin/waukesha/waukesha-freeman/1880/01-15/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=15&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,New Brunswick Daily Times,us/new-jersey/new-brunswick/new-brunswick-daily-times,1880-01-16,2,http://access.newspaperarchive.com/us/new-jersey/new-brunswick/new-brunswick-daily-times/1880/01-16/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=16&pm=1&py=1880&pep=lynching&pr=100,lynching
